Status,Subject,Topic,Assignment,IEP Goal Linked,Priority,Est. Time (min),Accommodation,Resource / App,Submission Format,Due Date,Grade,Notes
To-Do,Math,Multiplication Facts 6s,Fluency practice - 6x table flashcards (twice daily 5 min),Goal 3 (Computation Fluency),High,10,Multiplication chart available,IXL 4.C.1 / Khan Academy / paper flashcards,Photo of completed sheet,,"",Start with 6s only until 90% fluent
To-Do,Math,Multiplication Facts 7s,Fluency practice - 7x table flashcards,Goal 3 (Computation Fluency),High,10,Multiplication chart available,IXL 4.C.1 / Khan Academy,Photo of completed sheet,,"",Add after 6s mastered
To-Do,Math,Two-Step Word Problems,Solve 5 two-step word problems daily using all 4 operations,Goal 3 (Problem Solving),High,20,Graphic organizer; read aloud allowed,Khan Academy 5th grade / IXL 5.M,Photo of work,,"",Focus on identifying the right operation
To-Do,Math,Decimals - Place Value,Learn place value to thousandths,5th Grade Math Standard,Medium,25,Visual manipulatives,Khan Academy 5th Grade Decimals,Photo,,"",
To-Do,Math,Fractions - Add/Subtract,Add and subtract fractions with unlike denominators,5th Grade Math Standard,Medium,30,Fraction bars manipulatives,Khan Academy / IXL,Photo,,"",
To-Do,Math,Volume,Understand volume of rectangular prisms,5th Grade Math Standard,Medium,30,Build with unit cubes at home,Khan Academy,Photo of built model,,"",Real-world application
To-Do,Reading,Fluency Practice,Repeated reading of 5th grade passage (3x) - record wcpm,Goal 1 (Fluency 110 wcpm @ 97%),High,15,Choose high-interest passage,ReadTheory / Epic! / printable passages,Audio/video of reading,,"",Track wcpm weekly
To-Do,Reading,Consonant-le Decoding,Practice words: candle bugle middle little table puzzle,Goal 1 (Decoding),High,10,Multisensory - write in sand/shaving cream,Decoding Dragons app / printable,Photo or verbal check,,"",80% accuracy target
To-Do,Reading,Main Idea & Details,Read passage and identify main idea + 3 details,5th Grade ELA Standard,Medium,20,Graphic organizer,ReadWorks / Epic!,Typed or photo,,"",
To-Do,Reading,Compare & Contrast,Compare 2 characters from a book,5th Grade ELA Standard,Medium,25,Venn diagram template,Any book she enjoys,Photo of diagram,,"",Let her pick book
To-Do,Writing,Paragraph with Organizer,Write one paragraph using graphic organizer (topic + 3 details + conclusion),Goal 2 (Written Expression),High,30,Graphic organizer MANDATORY; speech-to-text ok,Google Docs voice typing,Google Doc shared,,"",Rubric score 7/8 target
To-Do,Writing,Spelling - Vowel Teams,Practice spelling words with ai ay ee ea oa ow,Goal 2 (Spelling),High,10,Multisensory - finger tracing,Spelling City / printable,Photo of spelling test,,"",
To-Do,Writing,Spelling - R-Controlled,Practice words with ar er ir or ur,Goal 2 (Spelling),High,10,Multisensory,Spelling City,Photo,,"",
To-Do,Writing,Narrative Writing,Write a short story about a personal experience,5th Grade ELA Standard,Medium,45,Can dictate then type,Google Docs / paper,Google Doc shared,,"",Ideas-first approach
To-Do,Writing,Opinion Writing,Write opinion: Best Roblox game and why - with 3 reasons,5th Grade ELA Standard,Medium,30,Graphic organizer; topic of interest,Google Docs,Google Doc shared,,"",Use her interests as hook
To-Do,Science,Solar System,Watch intro video + create model or drawing of planets,5th Grade Science,Medium,45,Hands-on building allowed,Mystery Science / YouTube Crash Course Kids,Photo of model,,"",
To-Do,Science,Grow Crystals,Grow borax or salt crystals and document with pictures,5th Grade Science,Low,60 (over days),Real-world activity,YouTube tutorial,Photo journal,,"",Fun - high interest
To-Do,Science,Bird Watching,Go outside identify 5 birds and log observations,5th Grade Science,Low,30,Outdoor activity,Merlin Bird ID app (free),Photo log or journal,,"",Encourages outdoor time
To-Do,Science,Light and Sound,Simple experiments with flashlights prisms rubber bands,5th Grade Science,Medium,30,Hands-on,YouTube Crash Course Kids,Photo + verbal explanation,,"",
To-Do,Science,Ecosystem Journal,Pick one habitat (forest pond) and list living/nonliving things,5th Grade Science,Medium,30,,National Geographic Kids,Typed or drawn,,"",
To-Do,Social Studies,American Revolution,Watch video + answer 5 questions,5th Grade Social Studies,Medium,45,Read-aloud ok,BrainPOP / YouTube Liberty's Kids,Typed answers,,"",
To-Do,Social Studies,U.S. Constitution Basics,3 Branches of Government chart,5th Grade Social Studies,Medium,30,Visual organizer,iCivics / BrainPOP,Photo of chart,,"",
To-Do,Social Studies,Map Skills,Use map to answer 10 geography questions,5th Grade Social Studies,Medium,20,,National Geographic Kids,Photo,,"",
To-Do,Social Studies,Early American Colonies,Read short text identify 3 key facts,5th Grade Social Studies,Low,25,Graphic organizer,ReadWorks,Typed,,"",
